data,pais,variavel,valor
2006-01-01,Australia,"Inflação (%, anual)",3.55528773727026
2007-01-01,Australia,"Inflação (%, anual)",2.32761128891476
2008-01-01,Australia,"Inflação (%, anual)",4.35029854990048
2009-01-01,Australia,"Inflação (%, anual)",1.77111716621254
2010-01-01,Australia,"Inflação (%, anual)",2.91834002677376
2011-01-01,Australia,"Inflação (%, anual)",3.3038501560874
2012-01-01,Australia,"Inflação (%, anual)",1.76278015613196
2013-01-01,Australia,"Inflação (%, anual)",2.4498886414254
2014-01-01,Australia,"Inflação (%, anual)",2.48792270531404
2015-01-01,Australia,"Inflação (%, anual)",1.50836672165921
2016-01-01,Australia,"Inflação (%, anual)",1.27699094497324
2017-01-01,Australia,"Inflação (%, anual)",1.94864740944527
2018-01-01,Australia,"Inflação (%, anual)",1.91140094445691
2019-01-01,Australia,"Inflação (%, anual)",1.61076787290379
2020-01-01,Australia,"Inflação (%, anual)",0.846905537459305
2021-01-01,Australia,"Inflação (%, anual)",2.86391042204994
2022-01-01,Australia,"Inflação (%, anual)",6.59409671341846
2023-01-01,Australia,"Inflação (%, anual)",5.5970149253731
2006-01-01,Belgium,"Inflação (%, anual)",1.7912077007046
2007-01-01,Belgium,"Inflação (%, anual)",1.82305630026808
2008-01-01,Belgium,"Inflação (%, anual)",4.48944420508401
2009-01-01,Belgium,"Inflação (%, anual)",-0.0531456741253769
2010-01-01,Belgium,"Inflação (%, anual)",2.18929920422457
2011-01-01,Belgium,"Inflação (%, anual)",3.53208210722742
2012-01-01,Belgium,"Inflação (%, anual)",2.83966343445899
2013-01-01,Belgium,"Inflação (%, anual)",1.1130959402754
2014-01-01,Belgium,"Inflação (%, anual)",0.340002833356922
2015-01-01,Belgium,"Inflação (%, anual)",0.561429152790065
2016-01-01,Belgium,"Inflação (%, anual)",1.97385264653181
2017-01-01,Belgium,"Inflação (%, anual)",2.12597086002607
2018-01-01,Belgium,"Inflação (%, anual)",2.05316499865186
2019-01-01,Belgium,"Inflação (%, anual)",1.43681956996429
2020-01-01,Belgium,"Inflação (%, anual)",0.740791812220344
2021-01-01,Belgium,"Inflação (%, anual)",2.44024851144084
